Student_ID,Department,CGPA,Attendance,Internship,Placement,Salary
1001,CSE,8.7,92,Yes,1,750000
1002,ECE,7.9,85,No,1,650000
1003,ME,7.2,78,No,0,0
1004,CSE,9.1,95,Yes,1,900000
1005,ECE,8.2,88,Yes,1,700000
1006,CE,6.8,70,No,0,0
1007,CSE,8.9,94,Yes,1,850000
1008,ME,6.5,65,No,0,0
1009,ECE,7.5,80,No,1,600000
1010,CSE,9.3,96,Yes,1,950000
1011,CE,7.0,72,No,0,0
1012,ECE,8.4,89,Yes,1,720000
1013,CSE,8.1,87,Yes,1,780000
1014,ME,7.8,83,No,1,620000
1015,CSE,8.6,91,Yes,1,800000
1016,ECE,6.9,68,No,0,0
1017,CE,7.3,77,No,0,0
1018,CSE,9.0,93,Yes,1,880000
1019,ME,6.2,60,No,0,0
1020,ECE,8.8,92,Yes,1,740000
1021,CSE,8.3,86,Yes,1,790000
1022,CE,7.6,82,Yes,1,640000
1023,ECE,7.1,74,No,0,0
1024,CSE,8.5,90,Yes,1,810000
1025,ME,7.4,79,No,0,0
1026,CSE,8.8,93,Yes,1,860000
1027,ECE,8.0,84,No,1,680000
1028,CE,6.6,66,No,0,0
1029,CSE,9.2,95,Yes,1,920000
1030,ME,7.7,81,No,1,610000
